Device Function,Device Make,Device Model,Device IP Address,Device Description,Upstream Device IP address
MUX,Synamedia,vDCM,172.16.2.174,,
Pool MUX,Cisco,DCM 9902,172.16.2.175,,
Pool MUX,Cisco,DCM 9902,172.16.2.176,,
Pool MUX,Cisco,DCM 9902,172.16.2.177,,
Pool MUX,Cisco,DCM 9902,172.16.2.178,,
VSM ,Synamedia,VSM Cluster  Node,172.16.2.181,,
VSM ,Synamedia,VSM Cluster  Node,172.16.2.182,,
VSM ,Synamedia,VSM Cluster  Node,172.16.2.183,,
MUX,Cisco,DCM 9902,172.16.2.201,,
MUX,Cisco,DCM 9902,172.16.2.202,,
VSM ,Cisco,VSM Cluster  Node,172.16.2.212,,
